company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
오픈엣지테크놀로지,중견/중소,오픈엣지테크놀로지 공식 채용,https://www.openedges.com/careers,html_page,approved,www.openedges.com,openedges.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
오킨스전자,중견/중소,오킨스전자 공식 채용,https://okins.co.kr/recruit,html_page,approved,okins.co.kr,okins.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
오킨스전자,중견/중소,오킨스전자 공식 채용,https://okins.co.kr/employment,html_page,approved,okins.co.kr,okins.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
위메이드맥스,중견/중소,위메이드맥스 공식 채용,https://www.wemademax.com/recruit,html_page,approved,www.wemademax.com,wemademax.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
웨이브일렉트로,중견/중소,웨이브일렉트로 공식 채용,https://wavetc.com/recruit/employ_coo,html_page,approved,wavetc.com,wavetc.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
위세아이텍,중견/중소,위세아이텍 공식 채용,https://wise.co.kr/company/employment.do,html_page,approved,wise.co.kr,wise.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
위즈코어 주식회사,중견/중소,위즈코어 주식회사 공식 채용,https://wizcore.co.kr/career/recruitment,html_page,approved,wizcore.co.kr,wizcore.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
위즈코어 주식회사,중견/중소,위즈코어 주식회사 공식 채용,https://wizcore.co.kr/career/information,html_page,approved,wizcore.co.kr,wizcore.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
위즈코어 주식회사,중견/중소,위즈코어 주식회사 공식 채용,https://wizcore.co.kr/career,html_page,approved,wizcore.co.kr,wizcore.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
위메이드플레이,중견/중소,위메이드플레이 공식 채용,https://corp.wemadeplay.com/04careers,html_page,approved,corp.wemadeplay.com,corp.wemadeplay.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
유니셈,중견/중소,유니셈 공식 채용,https://unisem.co.kr/kor/recruitment/talent.php,html_page,approved,unisem.co.kr,unisem.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
유니셈,중견/중소,유니셈 공식 채용,https://unisem.co.kr/kor/recruitment/recruitment.php,html_page,approved,unisem.co.kr,unisem.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
유니테스트,중견/중소,유니테스트 공식 채용,https://uni-test.com/kr/recruit/talent.php,html_page,approved,uni-test.com,uni-test.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
유니테스트,중견/중소,유니테스트 공식 채용,https://uni-test.com/kr/recruit/recruit.php,html_page,approved,uni-test.com,uni-test.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
유라클,중견/중소,유라클 공식 채용,https://uracle.co.kr/company/career,html_page,approved,uracle.co.kr,uracle.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
유니포인트,중견/중소,유니포인트 공식 채용,https://unipoint.co.kr/recruitment,html_page,approved,unipoint.co.kr,unipoint.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
유디에스,중견/중소,유디에스 공식 채용,https://www.uds.ai/recruitment/recruit.html,html_page,approved,www.uds.ai,uds.ai,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
유진로봇,중견/중소,유진로봇 공식 채용,https://yujinrobot.com/company/recruit,html_page,approved,yujinrobot.com,yujinrobot.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
